name	mod	context	context_source	default	live	seen	english	russian
key.jei.focusSearch	jei	UNIVERSAL	assumed		key.keyboard.f:CONTROL	options	Select Search Bar	Выбрать поле поиска
key.jei.internal.enter.key	jei	UNIVERSAL	assumed	key.keyboard.keypad.enter		jar		
key.jei.maxTransferRecipeBookmark	jei	UNIVERSAL	assumed		key.mouse.left:CONTROL	options	Craft Bookmarked Recipe (Many)	Создать рецепт в закладке (макс. кол-во)
key.jei.nextCategory	jei	UNIVERSAL	assumed		key.keyboard.page.down:SHIFT	options	Next Recipe Category	Следующая категория рецепта
key.jei.nextPage	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Next Page	Следующая страница
key.jei.nextRecipePage	jei	UNIVERSAL	assumed		key.keyboard.page.down	options	Next Recipe Page	Следующая страница рецепта
key.jei.nextSearch	jei	UNIVERSAL	assumed		key.keyboard.down	options	Next Search	Следующий поиск
key.jei.pauseRecipeCycling	jei	UNIVERSAL	assumed		key.keyboard.left.shift	options	Pause Recipe Ingredient Cycling	
key.jei.previousCategory	jei	UNIVERSAL	assumed		key.keyboard.page.up:SHIFT	options	Previous Recipe Category	Предыдущая категория рецепта
key.jei.previousPage	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Previous Page	Предыдущая страница
key.jei.previousRecipePage	jei	UNIVERSAL	assumed		key.keyboard.page.up	options	Previous Recipe Page	Предыдущая страница рецепта
key.jei.previousSearch	jei	UNIVERSAL	assumed		key.keyboard.up	options	Previous Search	Предыдущий поиск
key.jei.quickMove	jei	UNIVERSAL	assumed		key.mouse.left:SHIFT	options	Quick Move Ghost Item	
key.jei.recipeBack	jei	UNIVERSAL	assumed		key.keyboard.backspace	options	Previous Recipe	Предыдущий рецепт
key.jei.shareToChat	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Share Item to Chat	
key.jei.showBookmarkTooltipFeatures	jei	UNIVERSAL	assumed		key.keyboard.left.control	options	Show Bookmark Details	
key.jei.showRecipe	jei	UNIVERSAL	assumed		key.keyboard.r	options	Show Recipe	Отобразить рецепт
